date,open,high,low,close
2015-01-01,8282.0,8366.69,8248.28,8326.45
2015-01-02,8326.45,8328.67,8316.05,8318.27
2015-01-05,8318.27,8469.48,8161.1,8452.96
2015-01-06,8452.96,8590.53,8430.19,8521.21
2015-01-07,8521.21,8536.89,8460.7,8485.13
2015-01-08,8485.13,8505.91,8433.82,8449.01
2015-01-09,8449.01,8483.64,8325.47,8366.81
2015-01-12,8366.81,8414.29,8338.25,8396.45
2015-01-13,8396.45,8412.27,8395.09,8405.48
2015-01-14,8405.48,8494.91,8255.61,8289.09
2015-01-15,8289.09,8328.71,8215.47,8242.61
2015-01-16,8242.61,8247.47,8208.49,8221.87
2015-01-19,8221.87,8324.19,8174.21,8292.79
2015-01-20,8292.79,8361.47,8165.16,8194.86
2015-01-21,8194.86,8271.24,8174.73,8258.65
2015-01-22,8258.65,8278.72,8250.66,8276.11
2015-01-23,8276.11,8396.55,8098.43,8157.06
2015-01-26,8157.06,8179.74,8062.95,8101.6
2015-01-27,8101.6,8136.47,8066.63,8131.1
2015-01-28,8131.1,8157.74,8094.1,8103.04
2015-01-29,8103.04,8272.13,8087.29,8189.82
2015-01-30,8189.82,8308.69,8171.73,8269.37
2015-02-02,8269.37,8314.32,8264.15,8300.07
2015-02-03,8300.07,8421.62,8261.49,8384.36
2015-02-04,8384.36,8532.75,8340.08,8455.84
2015-02-05,8455.84,8601.24,8351.4,8573.9
2015-02-06,8573.9,8640.95,8551.77,8608.32
2015-02-09,8608.32,8835.86,8530.85,8744.16
2015-02-10,8744.16,8760.22,8736.84,8755.27
2015-02-11,8755.27,8780.18,8724.11,8732.59
2015-02-12,8732.59,8911.76,8708.11,8865.15
2015-02-13,8865.15,8882.9,8810.99,8822.75
2015-02-16,8822.75,8989.99,8797.02,8907.04
2015-02-17,8907.04,8975.42,8884.27,8939.88
2015-02-18,8939.88,8960.64,8846.97,8880.7
2015-02-19,8880.7,8906.24,8828.41,8855.15
2015-02-20,8855.15,8861.38,8853.77,8859.15
2015-02-23,8859.15,8863.14,8833.78,8841.91
2015-02-24,8841.91,8849.1,8821.82,8831.18
2015-02-25,8831.18,8890.0,8785.34,8870.4
2015-02-26,8870.4,8939.28,8680.32,8703.74
2015-02-27,8703.74,8705.82,8702.98,8704.92
2015-03-02,8704.92,8708.36,8683.19,8691.65
2015-03-03,8691.65,8756.49,8680.78,8721.34
2015-03-04,8721.34,8861.78,8628.39,8824.5
2015-03-05,8824.5,8929.64,8768.9,8894.38
2015-03-06,8894.38,8961.25,8837.58,8950.14
2015-03-09,8950.14,9240.17,8889.22,9149.77
2015-03-10,9149.77,9173.35,9148.26,9162.54
2015-03-11,9162.54,9190.71,9105.25,9120.08
2015-03-12,9120.08,9200.26,8977.86,9026.84
2015-03-13,9026.84,9125.61,9015.19,9073.2
2015-03-16,9073.2,9148.54,8933.94,9005.77
2015-03-17,9005.77,9015.51,8959.38,8980.37
2015-03-18,8980.37,9020.78,8971.57,9004.38
2015-03-19,9004.38,9150.24,8872.54,9125.69
2015-03-20,9125.69,9165.99,9112.44,9153.05
2015-03-23,9153.05,9295.86,9071.3,9228.27
2015-03-24,9228.27,9276.69,9223.11,9255.08
2015-03-25,9255.08,9300.78,9216.15,9290.85
2015-03-26,9290.85,9325.06,9282.28,9321.79
2015-03-27,9321.79,9366.02,9204.8,9258.93
2015-03-30,9258.93,9353.1,9113.85,9152.33
2015-03-31,9152.33,9245.28,9093.61,9216.08
2015-04-01,9216.08,9384.69,9149.03,9308.56
2015-04-02,9308.56,9359.26,9287.29,9350.7
2015-04-03,9350.7,9443.67,9228.98,9271.27
2015-04-06,9271.27,9349.04,9142.21,9199.34
2015-04-07,9199.34,9207.8,9196.21,9204.22
2015-04-08,9204.22,9384.95,9081.22,9341.68
2015-04-09,9341.68,9450.94,9134.7,9245.38
2015-04-10,9245.38,9347.13,9220.88,9293.69
2015-04-13,9293.69,9396.71,9244.16,9341.38
2015-04-14,9341.38,9342.68,9336.71,9338.32
2015-04-15,9338.32,9349.19,9273.31,9300.36
